Hostname,Image Name,PID,Session Name,Session#,Mem Usage,Status,User Name,CPU Time,Window Title
INBANL-PC0EX5K3,audiodg.exe,2416,Services,0,"23,948 K",Unknown,NT AUTHORITY\LOCAL SERVICE,0:01:21,N/A
INBANL-PC0EX5K3,chrome.exe,9240,Console,2,"82,000 K",Unknown,3AMLABS\vigneshb,0:00:32,N/A
INBANL-PC0EX5K3,chrome.exe,6812,Console,2,"48,040 K",Unknown,3AMLABS\vigneshb,0:00:02,N/A
INBANL-PC0EX5K3,LPlatSvc.exe,10904,Console,2,"7,128 K",Running,3AMLABS\vigneshb,0:00:00,LPlatSvc
INBANL-PC0EX5K3,backgroundTaskHost.exe,8836,Console,2,"13,488 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,g2mui.exe,10948,Console,2,"66,848 K",Running,3AMLABS\vigneshb,0:00:20,N/A
INBANL-PC0EX5K3,g2mvideoconference.exe,8428,Console,2,"45,788 K",Running,3AMLABS\vigneshb,0:00:21,CONPRO_SYSMSGRECEIVER
INBANL-PC0EX5K3,FMAPP.exe,3684,Console,2,696 K,Running,3AMLABS\vigneshb,0:00:00,FM Hook Background
INBANL-PC0EX5K3,EXCEL.EXE,9604,Console,2,"74,428 K",Running,3AMLABS\vigneshb,0:00:15,My_Ideas.xlsx - Excel
INBANL-PC0EX5K3,scrutil.exe,80,Console,2,"26,832 K",Running,3AMLABS\vigneshb,0:01:31,MagD3DScreenReader_HostWindowName
INBANL-PC0EX5K3,smartscreen.exe,5628,Console,2,"14,756 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
INBANL-PC0EX5K3,cmd.exe,9736,Console,2,"4,248 K",Running,3AMLABS\vigneshb,0:00:00,C:\WINDOWS\system32\cmd.exe
INBANL-PC0EX5K3,conhost.exe,3260,Console,2,"11,700 K",Running,3AMLABS\vigneshb,0:00:00,CicMarshalWnd
INBANL-PC0EX5K3,SearchProtocolHost.exe,9360,Services,0,"12,176 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,SearchFilterHost.exe,8872,Services,0,"7,396 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,TrustedInstaller.exe,6332,Services,0,"6,872 K",Unknown,NT AUTHORITY\SYSTEM,0:00:00,N/A
INBANL-PC0EX5K3,TiWorker.exe,11168,Services,0,"9,768 K",Unknown,NT AUTHORITY\SYSTEM,0:00:07,N/A
INBANL-PC0EX5K3,tasklist.exe,1536,Console,2,"9,564 K",Unknown,3AMLABS\vigneshb,0:00:00,N/A
